full_text,punctuation_text,normalized,hf_final,hf_score
Ini biasanya naik mrt udaah sampe rumaah eh ini naik TJ setengah perjalanan kerumah juga belum,ini biasanya naik mrt udaah sampe rumaah eh ini naik tj setengah perjalanan kerumah juga belum,ini biasanya naik mrt udaah sampai rumaah eh ini naik tj setengah perjalanan kerumah juga belum,Negative,5.543.798.208.236.690
jujur pas ke sg awal tahun 2024 tuh kek betul2 nekat tapi abis itu bangga dikit woi pertama kali kesono sendirian cari tau naik mrt gimana2 pengen balik lagi kesana,jujur pas ke sg awal tahun tuh kek betul nekat tapi abis itu bangga dikit woi pertama kali kesono sendirian cari tau naik mrt gimana pengen balik lagi kesana,jujur pas ke sg awal tahun tuh kek betul nekat tapi abis itu bangga sedikit woi pertama kali kesono sendirian cari tahu naik mrt gimana ingin balik lagi kesana,Positive,995.901.882.648.468
Fyi guys nama warungnya Nasi Bebek Khas Madura Bu Khofifah. Kalo cek dimaps bisa naik @Koridor1_TJ bisa turun di Halte Taman Sari paling deket sekitar +-300 m. Kalo dari Mangga Besar +-500 m. Cuman karena ada proyek MRT jalannya jadi sempit dan mesti hati2 sih.,fyi guys nama warungnya nasi bebek khas madura bu khofifah kalo cek dimaps bisa naik bisa turun di halte taman sari paling deket sekitar m kalo dari mangga besar m cuman karena ada proyek mrt jalannya jadi sempit dan mesti hati sih,fyi guys nama warungnya nasi bebek khas madura bu khofifah kalau cek dimaps bisa naik bisa turun di halte taman sari paling deket sekitar m kalau dari mangga besar m hanya karena ada proyek mrt jalannya jadi sempit dan mesti hati sih,Negative,8.810.543.417.930.600
Setelah sekian lama akhirnya naik TJ lagi Hari ini berarti aku pakai transum ojol KRL LRT dan TJ.. Tambah MRT lengkap deh https://t.co/mrqxRQEV5d,setelah sekian lama akhirnya naik tj lagi hari ini berarti aku pakai transum ojol krl lrt dan tj tambah mrt lengkap deh,setelah sekian lama akhirnya naik tj lagi hari ini berarti saya pakai transportasi umum ojol krl lrt dan tj tambah mrt lengkap deh,Positive,9.959.642.887.115.470
@fleurseint Tadi mah MRT. Ini baru mau naik KRL di BNI City. Masih panjang perjalanan ini,tadi mah mrt ini baru mau naik krl di bni city masih panjang perjalanan ini,tadi mah mrt ini baru mau naik krl di bni city masih panjang perjalanan ini,Neutral,9.892.592.430.114.740
Rasa nak pengsan naik mrt during peak hour,rasa nak pengsan naik mrt during peak hour,rasa anak pengsan naik mrt during peak hour,Neutral,9.945.083.260.536.190
gimane gw naik mrt nya,gimane gw naik mrt nya,gimane saya naik mrt nya,Negative,9.972.352.385.520.930
Jadi budak korporat beneran hari ini. Berangkat pagi naik MRT pulang sore naik TJ dan MRT,jadi budak korporat beneran hari ini berangkat pagi naik mrt pulang sore naik tj dan mrt,jadi budak korporat benar hari ini berangkat pagi naik mrt pulang sore naik tj dan mrt,Negative,9.997.816.681.861.870
Kenapa dengan I today eh 1. I sampai awal sgt 6:50pagi mcm tu dh dkt mrt workplace i pastu tetiba salah naik bas??? like salah??? so dah buang masa setengah jam lebih pusing jalan-jalan lol,kenapa dengan i today eh i sampai awal sgt pagi mcm tu dh dkt mrt workplace i pastu tetiba salah naik bas like salah so dah buang masa setengah jam lebih pusing jalan jalan lol,kenapa dengan saya today eh saya sampai awal sangat pagi macam itu sudah dekat mrt workplace saya pastu tetiba salah naik bas like salah so sudah buang masa setengah jam lebih pusing jalan jalan lol,Negative,9.997.833.371.162.410
guizzz naik mrt klo ke kby baru turun dmna????,guiz naik mrt klo ke kby baru turun dmna,guiz naik mrt kalau ke kby baru turun dimana,Neutral,9.996.888.637.542.720
@ustronesian kota satelitnya petaling jaya &amp; selangor kak. bagus aman dan rapi banget. transportasi juga mudah disini kak. mereka punya MRT &amp; LRT connecting to KL. upcoming bkl ada MRT3 menghubungkan lebih banyak tempat. pas kerja dulu gw naik mrt less than 30 minutes udah sampai city centre,kota satelitnya petaling jaya amp selangor kak bagus aman dan rapi banget transportasi juga mudah disini kak mereka punya mrt amp lrt connecting to kl upcoming bkl ada mrt menghubungkan lebih banyak tempat pas kerja dulu gw naik mrt less than minutes udah sampai city centre,kota satelitnya petaling jaya amp selangor kak bagus aman dan rapi sekali transportasi juga mudah disini kak mereka punya mrt amp lrt connecting to kalau upcoming bakal ada mrt menghubungkan lebih banyak tempat pas kerja dulu saya naik mrt less than minutes sudah sampai city centre,Positive,9.996.963.739.395.140
@skydermean ak aj naik mrt,ak aj naik mrt,saya saja naik mrt,Neutral,9.991.067.051.887.510
@gatras_id @ndeso_ganteng kmaren dulu gw naik Whoosh ke BDG bwat acara seminar ngga ribet kok oper kereta feedernya... anggep aja naik MRT trus mesti pindah ke jalur LRT di Jakarta. secara total waktunya msh jauh lbh cepet drpd naik kendaraan krn macetnya BDG itu lho..,kmaren dulu gw naik whoosh ke bdg bwat acara seminar ngga ribet kok oper kereta feedernya anggep aja naik mrt trus mesti pindah ke jalur lrt di jakarta secara total waktunya msh jauh lbh cepet drpd naik kendaraan krn macetnya bdg itu lho,kemarin dulu saya naik whoosh ke bandung bwat acara seminar tidak ribet kok oper kereta feedernya anggep saja naik mrt terus mesti pindah ke jalur lrt di jakarta secara total waktunya masih jauh lebih cepat daripada naik kendaraan karena macetnya bandung itu lho,Negative,9.988.470.077.514.640
temen2 mau tanya aku perantau baru di daerah kota tangerang (daerah petir) kalo mau ke blok m selain naik krl lanjut mrt naik apa lagi ya yang sekiranya cepet ngga muter2 hehehe thank you guys,temen mau tanya aku perantau baru di daerah kota tangerang daerah petir kalo mau ke blok m selain naik krl lanjut mrt naik apa lagi ya yang sekiranya cepet ngga muter hehehe thank you guys,teman mau tanya saya perantau baru di daerah kota tangerang daerah petir kalau mau ke blok m selain naik krl lanjut mrt naik apa lagi ya yang sekiranya cepat tidak muter hehehe thank you guys,Positive,9.721.184.968.948.360
Sebagai orang yang selalu naik public transport setiap bas layout dia lain lain even mrt bus pun lain https://t.co/sq8wQeOTTV,sebagai orang yang selalu naik public transport setiap bas layout dia lain lain even mrt bus pun lain,sebagai orang yang selalu naik public transport setiap bas layout dia lain lain even mrt bus pun lain,Positive,9.922.611.117.362.970
@blueberrytrash iyaa ih kukira bakal banyak chinese taunya indian jujur iya bau tp kebanyakan kalo di mrt masih bisa diterima ya krn ada orang mampu buat beli parfume coba kalo naik bis nya aoalagi perbatasan sg-johor beuhh full orang aca aca nehi nehi bau ketek,iyaa ih kukira bakal banyak chinese taunya indian jujur iya bau tp kebanyakan kalo di mrt masih bisa diterima ya krn ada orang mampu buat beli parfume coba kalo naik bis nya aoalagi perbatasan sg johor beuhh full orang aca aca nehi nehi bau ketek,iyaa ih kukira bakal banyak chinese tahunya indian jujur iya bau tapi kebanyakan kalau di mrt masih bisa diterima ya karena ada orang mampu buat beli parfume coba kalau naik bis nya aoalagi perbatasan sg johor beuhh penuh orang aca aca nehi nehi bau ketek,Negative,9.866.843.819.618.220
Hidup di luar negeri bukan cuma soal adaptasi tapi juga efisiensi Untung selama tinggal di Singapura ada Kartu Debit wondr multicurrency. Urus semua transaksi hanya dengan satu kartu. Mulai dari beli kopi naik MRT sampai tarik tunai semua bisa beres Satu rekening https://t.co/qKsK8uXhKj,hidup di luar negeri bukan cuma soal adaptasi tapi juga efisiensi untung selama tinggal di singapura ada kartu debit wondr multicurrency urus semua transaksi hanya dengan satu kartu mulai dari beli kopi naik mrt sampai tarik tunai semua bisa beres satu rekening,hidup di luar negeri bukan cuma soal adaptasi tapi juga efisiensi untung selama tinggal di singapura ada kartu debit wondr multicurrency urus semua transaksi hanya dengan satu kartu mulai dari beli kopi naik mrt sampai tarik tunai semua bisa beres satu rekening,Positive,9.983.618.855.476.370
@piduto ngeri bgt naik mrt mulu nnti dah,ngeri bgt naik mrt mulu nnti dah,ngeri banget naik mrt terus nanti sudah,Negative,9.950.767.159.461.970
gua doain yang ngerokok di toilet bantalnya panas terus dan ga dapet bangku kalo naik mrt tj atau krl,gua doain yang ngerokok di toilet bantalnya panas terus dan ga dapet bangku kalo naik mrt tj atau krl,saya doain yang merokok di toilet bantalnya panas terus dan tidak dapat bangku kalau naik mrt tj atau krl,Negative,9.977.496.266.365.050
@skysatur Kak kalo ke bang na naik bts atau mrt deh,kak kalo ke bang na naik bts atau mrt deh,kak kalau ke bang na naik bts atau mrt deh,Neutral,9.983.460.903.167.720
Naik MRT pakai merchandise tiket allride terbaru sekarang #TambahEasy! Top up online kapan aja di mana aja dengan allride wallet by GoPay. Gak ada lagi drama antre beli tiket atau top up kartu karena pakai allride tinggal tap langsung jalan tanpa hambatan dengan allride wallet https://t.co/AGyuGMUa3Q,naik mrt pakai merchandise tiket allride terbaru sekarang tambaheasy top up online kapan aja di mana aja dengan allride wallet by gopay gak ada lagi drama antre beli tiket atau top up kartu karena pakai allride tinggal tap langsung jalan tanpa hambatan dengan allride wallet,naik mrt pakai merchandise tiket allride terbaru sekarang tambaheasy top up online kapan saja di mana saja dengan allride wallet by gopay tidak ada lagi drama antre beli tiket atau top up kartu karena pakai allride tinggal tap langsung jalan tanpa hambatan dengan allride wallet,Neutral,9.949.254.989.624.020
detikers MRT Jakarta x GoPay x Tahilalats bikin inovasi alat pembayaran baru buat naik MRT Jakarta. Menurut detikers lebih cepet mana nih? Ada yang udah pernah coba pake allride charm? Sharing yuk di kolom komentar! #detikfinance #mrtjakarta #Tap https://t.co/twxWAE7lmi,detikers mrt jakarta x gopay x tahilalats bikin inovasi alat pembayaran baru buat naik mrt jakarta menurut detikers lebih cepet mana nih ada yang udah pernah coba pake allride charm sharing yuk di kolom komentar detikfinance mrtjakarta tap,detikers mrt jakarta x gopay x tahilalats bikin inovasi alat pembayaran baru buat naik mrt jakarta menurut detikers lebih cepat mana nih ada yang sudah pernah coba pakai allride charm sharing yuk di kolom komentar detikfinance mrtjakarta tap,Neutral,9.988.123.178.482.050
apa nextnya naik mrt aja yaa biar ga telat mulu gue,apa nextnya naik mrt aja yaa biar ga telat mulu gue,apa nextnya naik mrt saja yaa biar tidak telat terus saya,Negative,8.973.861.932.754.510
@GuitarsCute iya lagi naik mrt aja tiba2 kedengeran org ngomong jawa,iya lagi naik mrt aja tiba kedengeran org ngomong jawa,iya lagi naik mrt saja tiba kedengeran orang bicara jawa,Negative,9.975.335.597.991.940
baru pertama kali naik MRT dan bus serame ini... tahun lalu emang masih anomali,baru pertama kali naik mrt dan bus serame ini tahun lalu emang masih anomali,baru pertama kali naik mrt dan bus serame ini tahun lalu memang masih anomali,Negative,9.989.566.802.978.510
dah berapa kali gue ngalamin kek gini rentetan mobil panjang yang isinya satu mobil satu orang yaelah kata gue naik mrt aje sono atau ga lrt kek dah ketauan ko lo org ada. ngapain gedein gengsi pake mesti bawa mobil segala kalo ujung nya jadi penyumbang kemacetan doang kocak,dah berapa kali gue ngalamin kek gini rentetan mobil panjang yang isinya satu mobil satu orang yaelah kata gue naik mrt aje sono atau ga lrt kek dah ketauan ko lo org ada ngapain gedein gengsi pake mesti bawa mobil segala kalo ujung nya jadi penyumbang kemacetan doang kocak,sudah berapa kali saya ngalamin kek gini rentetan mobil panjang yang isinya satu mobil satu orang yaelah kata saya naik mrt saja sono atau tidak lrt kek sudah ketauan ko kamu orang ada ngapain gedein gengsi pakai mesti bawa mobil segala kalau ujung nya jadi penyumbang kemacetan saja kocak,Negative,9.998.379.945.755.000
@daladom_ms KL - naik MRT LRT pengangkutan awam mantap naik MRT tidur kejap . Tapi kos sara hidup tinggi. Duduk dengan anak dalam bilik kongsi rumah lelaki wanita. JB - pengangkutan awam hauk. Kos sara hidup masih boleh urus. Duduk 1 rumah dengan anak berdua. Pilih nak jalan mana.,kl naik mrt lrt pengangkutan awam mantap naik mrt tidur kejap tapi kos sara hidup tinggi duduk dengan anak dalam bilik kongsi rumah lelaki wanita jb pengangkutan awam hauk kos sara hidup masih boleh urus duduk rumah dengan anak berdua pilih nak jalan mana,kalau naik mrt lrt pengangkutan awam mantap naik mrt tidur sebentar tapi kos sara hidup tinggi duduk dengan anak dalam bilik kongsi rumah lelaki wanita jb pengangkutan awam hauk kos sara hidup masih boleh urus duduk rumah dengan anak berdua pilih anak jalan mana,Negative,9.988.829.493.522.640
@Metro_TV Susah emg rakyat KRL. Saya naik MRT tertib semua cuyy,susah emg rakyat krl saya naik mrt tertib semua cuyy,susah memang rakyat krl saya naik mrt tertib semua cuyy,Negative,9.817.832.112.312.310
@edoazhara Kan tiap hari udah naik MRT pak..,kan tiap hari udah naik mrt pak,kan tiap hari sudah naik mrt pak,Neutral,9.811.055.064.201.350
nah ini hampir nyasar lagi tuh aku kan belom tau wujudnya MRT sini sama BTS hampirr aja naik MRT wkwkwkw untung nanya dulu tadi sama petugas nya,nah ini hampir nyasar lagi tuh aku kan belom tau wujudnya mrt sini sama bts hampirr aja naik mrt wkwkwkw untung nanya dulu tadi sama petugas nya,nah ini hampir nyasar lagi tuh saya kan belum tahu wujudnya mrt sini sama bts hampirr saja naik mrt wkwkwkw untung tanya dulu tadi sama petugas nya,Negative,9.618.605.375.289.910
zaman perfume ni naik mrt/lrt best dah takde orang busuk,zaman perfume ni naik mrt lrt best dah takde orang busuk,zaman perfume ini naik mrt lrt best sudah takde orang busuk,Negative,9.997.524.619.102.470
@stravenues Dan jg sistem transportasinya itu bener2 dipikirin mateng. Turun dari KLIA bisa naik MRT ke KL sentral udah gt terminalnya TBS itu nyambung sama stasiun MRTnya jg. Bener2 terintegrasi semua,dan jg sistem transportasinya itu bener dipikirin mateng turun dari klia bisa naik mrt ke kl sentral udah gt terminalnya tbs itu nyambung sama stasiun mrtnya jg bener terintegrasi semua,dan juga sistem transportasinya itu benar dipikirin matang turun dari klia bisa naik mrt ke kalau sentral sudah begitu terminalnya tbs itu nyambung sama stasiun mrtnya juga benar terintegrasi semua,Positive,9.984.797.835.350.030
naik mrt bus ke ni https://t.co/cu6ui9HkrX,naik mrt bus ke ni,naik mrt bus ke ini,Neutral,9.993.578.791.618.340
{mu} girlss disini ada orang jkt ga ya? Mo nanya doong kalo mau ke rspi puri indah tuh harus turun di stasiun mana? Terus masih harus lanjut naik tj/mrt/krl kah? Sender dari luar kota mau ke jkt masih bingung. TIA buat yg udah mau jawaab,mu girlss disini ada orang jkt ga ya mo nanya doong kalo mau ke rspi puri indah tuh harus turun di stasiun mana terus masih harus lanjut naik tj mrt krl kah sender dari luar kota mau ke jkt masih bingung tia buat yg udah mau jawaab,mu girlss disini ada orang jakarta tidak ya mau tanya doong kalau mau ke rspi puri indah tuh harus turun di stasiun mana terus masih harus lanjut naik tj mrt krl kah sender dari luar kota mau ke jakarta masih bingung tia buat yang sudah mau jawaab,Negative,9.989.063.739.776.610
Magang di bumn beli bunga krisan naik mrt jogging di gbk ke malang,magang di bumn beli bunga krisan naik mrt jogging di gbk ke malang,magang di bumn beli bunga krisan naik mrt jogging di gbk ke malang,Neutral,9.997.512.698.173.520
@daladom_ms @t13h4sh4h Pergi mana-mana naik MRT LRT . Senang. Cuma KL keras sikit. RM 5.5K msikin bandar.,pergi mana mana naik mrt lrt senang cuma kl keras sikit rm k msikin bandar,pergi mana mana naik mrt lrt senang cuma kalau keras sikit rm k msikin bandar,Negative,9.970.982.074.737.540
Pertanyaan yg sama denganku tiap naik MRT pulang malam,pertanyaan yg sama denganku tiap naik mrt pulang malam,pertanyaan yang sama denganku tiap naik mrt pulang malam,Neutral,9.990.190.267.562.860
PEKERJA SWASTA GAJI DI BAWAH 6 2 JUTA BISA GRATIS NAIK TRANSPORTASI LRT &amp; MRT JAKARTA #dkijakarta https://t.co/5v5f8mPOBO,pekerja swasta gaji di bawah juta bisa gratis naik transportasi lrt amp mrt jakarta dkijakarta,pekerja swasta gaji di bawah juta bisa gratis naik transportasi lrt amp mrt jakarta dkijakarta,Neutral,9.996.185.302.734.370
Dah lama ga naik Ratangga (MRT) malem2 gini ga nyangka masih rame juga penumpangnya jam segini weh https://t.co/a7C3ASebFm,dah lama ga naik ratangga mrt malem gini ga nyangka masih rame juga penumpangnya jam segini weh,sudah lama tidak naik ratangga mrt malam gini tidak sangka masih ramai juga penumpangnya jam segini weh,Negative,9.989.521.503.448.480
Fot mobil udah baru terus pake supir tapi kamu malah pilih naik mrt pas pulang kerja plsss lucu banget my babyyy #Fourthnattawat #โฟร์ทณัฐวรรธน์ https://t.co/Qbd9kKmDyK,fot mobil udah baru terus pake supir tapi kamu malah pilih naik mrt pas pulang kerja pls lucu banget my baby fourthnattawat โฟร ทณ ฐวรรธน,fot mobil sudah baru terus pakai supir tapi kamu malah pilih naik mrt pas pulang kerja pls lucu sekali my baby fourthnattawat โฟร ทณ ฐวรรธน,Positive,9.989.761.114.120.480
Sebenernya kalo dibaca tuh lu korelasinya gak nyambung abis sih But btw kalo lu naik angkutan umum pulang perginya acak-acakan atau berantakan ya jangan disamain ke orang lain WKWK Lagian lu di Jateng kok pede banget ngomongin krl mrt dan orang-orangnya wkwkwk,sebenernya kalo dibaca tuh lu korelasinya gak nyambung abis sih but btw kalo lu naik angkutan umum pulang perginya acak acakan atau berantakan ya jangan disamain ke orang lain wkwk lagian lu di jateng kok pede banget ngomongin krl mrt dan orang orangnya wkwkwk,sebenarnya kalau dibaca tuh kamu korelasinya tidak nyambung abis sih but btw kalau kamu naik angkutan umum pulang perginya acak acakan atau berantakan ya jangan disamain ke orang lain wkwk lagi kamu di jateng kok pede sekali membicarakan krl mrt dan orang orangnya wkwkwk,Negative,999.708.354.473.114
buat cwk2 yg naik krl pls sadar kalian lg naik krl bukan mrt,buat cwk yg naik krl pls sadar kalian lg naik krl bukan mrt,buat cwk yang naik krl pls sadar kalian lagi naik krl bukan mrt,Neutral,9.600.770.473.480.220
@scrnsyt lu kan naik mrt bukan krl kok bisaaaa,lu kan naik mrt bukan krl kok bisa,kamu kan naik mrt bukan krl kok bisa,Negative,9.827.653.765.678.400
olahraga yang di maksud adalah naik turun tangga mrt dan keliling blok m,olahraga yang di maksud adalah naik turun tangga mrt dan keliling blok m,olahraga yang di maksud adalah naik turun tangga mrt dan keliling blok m,Neutral,9.994.066.953.659.050
salah banget pake flatshoes dibawa lari kesana kesini karena naik krl dan mrt jadi rusak dan kakiku sakit,salah banget pake flatshoes dibawa lari kesana kesini karena naik krl dan mrt jadi rusak dan kakiku sakit,salah sekali pakai flatshoes dibawa lari kesana kesini karena naik krl dan mrt jadi rusak dan kakiku sakit,Negative,9.998.167.157.173.150
@semangkukindomi @blueemingbird @kimtaekun__ @taejoonpersona di brebes ga ada krl dan mrt tp lu soksokan ngerendahin orang yg naik krl mrt,di brebes ga ada krl dan mrt tp lu soksokan ngerendahin orang yg naik krl mrt,di brebes tidak ada krl dan mrt tapi kamu soksokan ngerendahin orang yang naik krl mrt,Negative,9.995.276.927.947.990
@MebiusWife Naik mrt,naik mrt,naik mrt,Neutral,9.827.935.695.648.190
Padahal banyak cara buat kesini tp gila nya baru kepikiran naik mrt pas udah mau deker https://t.co/jzeYCsLPkr,padahal banyak cara buat kesini tp gila nya baru kepikiran naik mrt pas udah mau deker,padahal banyak cara buat kesini tapi gila nya baru kepikiran naik mrt pas sudah mau deker,Negative,9.837.820.529.937.740
Naik mrt dan dibilang blm tap kluar Padahal ga naik @PT_Transjakarta lagi karna males bgt kmrn kepotong 2x Trs kudu reset dan kepotong lagi 3.500 Jir? Seriusan? Alat kalian bobrok kah @PT_Transjakarta Yg complaing kepotong 2x kmrin blm di tanggepin yakali yg ini ada ya haha https://t.co/MTZiCOc0eP,naik mrt dan dibilang blm tap kluar padahal ga naik lagi karna males bgt kmrn kepotong x trs kudu reset dan kepotong lagi jir seriusan alat kalian bobrok kah yg complaing kepotong x kmrin blm di tanggepin yakali yg ini ada ya haha,naik mrt dan dibilang belum tap keluar padahal tidak naik lagi karena males banget kemarin kepotong x terus kudu reset dan kepotong lagi jir seriusan alat kalian bobrok kah yang complaing kepotong x kemarin belum di tanggepin yakali yang ini ada ya haha,Negative,9.998.294.115.066.520
kenapa coba orang orang yg naik mrt di blok m banyak yg gak beradab (gak antri nunggu depan pintu mrt ngalangin jalan orang),kenapa coba orang orang yg naik mrt di blok m banyak yg gak beradab gak antri nunggu depan pintu mrt ngalangin jalan orang,kenapa coba orang orang yang naik mrt di blok m banyak yang tidak beradab tidak antri nunggu depan pintu mrt ngalangin jalan orang,Negative,7.420.079.708.099.360
@twinklesylus pernah aku naik jaklingko yg dari stasiun mrt jujur ngga bau badan tapi tetep pengap yaallah i d take jaklingko versi angkot yg ada jendelanya any day,pernah aku naik jaklingko yg dari stasiun mrt jujur ngga bau badan tapi tetep pengap yaallah i d take jaklingko versi angkot yg ada jendelanya any day,pernah saya naik jaklingko yang dari stasiun mrt jujur tidak bau badan tapi tetap pengap yaallah saya d take jaklingko versi angkot yang ada jendelanya any day,Neutral,7.794.474.959.373.470
Buat siapapun mau COWO atau cewe tolong klo di transportasi publik kayak tj krl lrt mrt dan angkot TOLONG BANGET KAKINYA GAUSAH NGANGKANG LEBAR2 BJIR BIKIN SEMPIT. Udah ditegur baik2 dikasih tau reasoningnya malah ngedumel ewwww naik gojek/grab gih yg bs ngangkang sepuasnya,buat siapapun mau cowo atau cewe tolong klo di transportasi publik kayak tj krl lrt mrt dan angkot tolong banget kakinya gausah ngangkang lebar bjir bikin sempit udah ditegur baik dikasih tau reasoningnya malah ngedumel ew naik gojek grab gih yg bs ngangkang sepuasnya,buat siapapun mau cowok atau cewek tolong kalau di transportasi publik kayak tj krl lrt mrt dan angkot tolong sekali kakinya tidak usah ngangkang lebar bjir bikin sempit sudah ditegur baik dikasih tahu reasoningnya malah ngedumel ew naik gojek grab gih yang bisa ngangkang sepuasnya,Negative,9.995.711.445.808.410
Naik TransJakarta MRT atau LRT sekarang bisa GRATIS buat 15 golongan masyarakat di Jakarta! Program baru dari Pemprov DKI ini ditujukan buat kelompok tertentu mulai dari penerima bansos lansia disabilitas guru PAUD sampai penghuni rusunawa. Swipe untuk berita selengkapnya. https://t.co/xUVKB94D5I,naik transjakarta mrt atau lrt sekarang bisa gratis buat golongan masyarakat di jakarta program baru dari pemprov dki ini ditujukan buat kelompok tertentu mulai dari penerima bansos lansia disabilitas guru paud sampai penghuni rusunawa swipe untuk berita selengkapnya,naik transjakarta mrt atau lrt sekarang bisa gratis buat golongan masyarakat di jakarta program baru dari pemprov dki ini ditujukan buat kelompok tertentu mulai dari penerima bansos lansia disabilitas guru paud sampai penghuni rusunawa swipe untuk berita selengkapnya,Neutral,9.994.295.239.448.540
Tadi ada colleague offer hantar sampai LRT KJ selalu kena naik MRT dari Mutiara Damansara and kena tukar lagi kat Pasar Seni haha. Awal sikit sampai rumah. Rezeki.,tadi ada colleague offer hantar sampai lrt kj selalu kena naik mrt dari mutiara damansara and kena tukar lagi kat pasar seni haha awal sikit sampai rumah rezeki,tadi ada colleague offer hantar sampai lrt kj selalu kena naik mrt dari mutiara damansara and kena tukar lagi kat pasar seni haha awal sikit sampai rumah rezeki,Positive,9.957.520.961.761.470
naik mrt mau interview di sudirman sepanjang jalan belajar ingetnya turun HI. sampe HI lgsg keluar liat maps sambil becanda masuk mrt lg kali ya biar ky org oon . pas cek trnyata hrsnya kita turun benhil (kelewatan) trs lari naik mrt lg sampe dlm cekikikan (merasa oon) https://t.co/96yQ8czrRP,naik mrt mau interview di sudirman sepanjang jalan belajar ingetnya turun hi sampe hi lgsg keluar liat maps sambil becanda masuk mrt lg kali ya biar ky org oon pas cek trnyata hrsnya kita turun benhil kelewatan trs lari naik mrt lg sampe dlm cekikikan merasa oon,naik mrt mau interview di sudirman sepanjang jalan belajar ingetnya turun hi sampai hi langsung keluar liat maps sambil bercanda masuk mrt lagi kali ya biar ky orang oon pas cek ternyata hrsnya kita turun benhil kelewatan terus lari naik mrt lagi sampai dalam cekikikan merasa oon,Negative,9.996.191.263.198.850
Setuju sgt. Klu gi bukit bintang mmg seboleh mungkin nk elak drive sini. Nk keluar dari jw marriot haritu pun almost setengah jam pergh. Please la naik public je if nk ke sini. MRT ada monorail ada. Walkable pun sedey and tak perlu risau sbb ramai je org jln kaki sini,setuju sgt klu gi bukit bintang mmg seboleh mungkin nk elak drive sini nk keluar dari jw marriot haritu pun almost setengah jam pergh please la naik public je if nk ke sini mrt ada monorail ada walkable pun sedey and tak perlu risau sbb ramai je org jln kaki sini,setuju sangat kalau lagi bukit bintang memang seboleh mungkin nk elak drive sini nk keluar dari jw marriot haritu pun almost setengah jam pergh please la naik public je if nk ke sini mrt ada monorail ada walkable pun sedey and tidak perlu risau sbb ramai je orang jalan kaki sini,Positive,9.992.511.868.476.860
Yaa ampunn ko kalo naik transum ada aja kejadian lucu yaa.. Jadi ceritanya gue lg di mrt dan untuk pertama kalinya duduk di kursi prioritas. Setelah sampai blok m ada 3 ibu² (kurang lebih sekitar 40-50thn) dengan lincah masuk dan bawa belanjaan.,yaa ampunn ko kalo naik transum ada aja kejadian lucu yaa jadi ceritanya gue lg di mrt dan untuk pertama kalinya duduk di kursi prioritas setelah sampai blok m ada ibu² kurang lebih sekitar thn dengan lincah masuk dan bawa belanjaan,yaa ampunn ko kalau naik transportasi umum ada saja kejadian lucu yaa jadi ceritanya saya lagi di mrt dan untuk pertama kalinya duduk di kursi prioritas setelah sampai blok m ada ibu² kurang lebih sekitar tahun dengan lincah masuk dan bawa belanjaan,Negative,8.852.437.734.603.880
Lotte World Busan ⭐️⭐️⭐️⭐️⭐️ Otw lumayan pagi (set10 pagi) dari dorm naik bus + mrt cuma 1jam 15menit ‍↔️ Ticketnya 400k lebih mahal dari dufan tapi gedean dufan?? tapi worth the price banget karena wahana menantangnya beneran seseru itu!! https://t.co/76wYBSl74f,lotte world busan otw lumayan pagi set pagi dari dorm naik bus mrt cuma jam menit ticketnya k lebih mahal dari dufan tapi gedean dufan tapi worth the price banget karena wahana menantangnya beneran seseru itu,lotte world busan otw lumayan pagi set pagi dari dorm naik bus mrt cuma jam menit ticketnya k lebih mahal dari dufan tapi gedean dufan tapi worth the price sekali karena wahana menantangnya benar seseru itu,Positive,9.994.072.914.123.530
riki turun mrt upm naik T568 nak jumpa aku,riki turun mrt upm naik t nak jumpa aku,riki turun mrt upm naik t anak jumpa saya,Neutral,9.997.184.872.627.250
@adriansyahyasin Bayangin dr Balaraja ke Cikarang naik MRT,bayangin dr balaraja ke cikarang naik mrt,bayangin dari balaraja ke cikarang naik mrt,Neutral,997.991.681.098.938
naik MRT ajah kali yaa daripada KRL arah jakarta harapannya sepi wkwk,naik mrt ajah kali yaa daripada krl arah jakarta harapannya sepi wkwk,naik mrt saja kali yaa daripada krl arah jakarta harapannya sepi wkwk,Negative,9.998.196.959.495.540
@yanshayy parkir disini buat naik mrt bisa gk yaa,parkir disini buat naik mrt bisa gk yaa,parkir disini buat naik mrt bisa tidak yaa,Neutral,9.582.180.976.867.670
Tahukah kamu 8 dari 10 pria dan wanita bisa terinfeksi HPV seumur hidupnya? Salah satu pencegahannya yaitu dengan cara melakukan Vaksin HPV. Nah buat kamu yang lagi naik MRT bisa banget sekalian mampir vaksin. #VaksinHPV #HPV #vaksinhpvjakarta https://t.co/oxO4HIaKUG,tahukah kamu dari pria dan wanita bisa terinfeksi hpv seumur hidupnya salah satu pencegahannya yaitu dengan cara melakukan vaksin hpv nah buat kamu yang lagi naik mrt bisa banget sekalian mampir vaksin vaksinhpv hpv vaksinhpvjakarta,tahukah kamu dari pria dan wanita bisa terinfeksi hpv seumur hidupnya salah satu pencegahannya yaitu dengan cara melakukan vaksin hpv nah buat kamu yang lagi naik mrt bisa sekali sekalian mampir vaksin vaksinhpv hpv vaksinhpvjakarta,Neutral,9.989.588.260.650.630
