normalized,hf_final,hf_score,label_id
anjir ini krl via manggarai ngaret banget tadi berhenti di jatner sekarang di manggarai naik di stasiun awa jam 6 09 jam segini belum sampai stasiun sudirman dikata gue enggak ngejar naik transum lain apa ya,Negative,9.997.596.144.676.200,0
wkwkwk terus akhirnya naik apa enggak terbayang gue juga bawa koper terus naik krl pas jam rame,Negative,9.980.301.260.948.180,0
hampir salah naik krl huhu untung cepat menyadar,Positive,9.964.556.694.030.760,2
naik krl apa naik lrt ya ini,Neutral,9.062.578.082.084.650,1
sering banget keluar terakhir pintu hampir tertutup karena orang enggak paham sop plis banget pengguna krl pahami hal sepele ini hal kecil seperti pakai deodoran pakai masker juga perlu diperhatikan karena dampaknya ke orang lain ketika naik transum,Negative,9.306.431.412.696.830,0
5 naik 9 terus krl dari cawang sampai juanda naik 8 sampai tanjung duren transit 9 6 naik 9 terus krl sampai jakarta kota ke kali besar naik 1a transit 9 kalo mager naik 1 1a 3h sampai glodok terus transit 1a di penjaringan transit 9,Neutral,9.984.534.978.866.570,1
hahahahaha aku sampai gemeteran lambung en pankreasnya eonnie ge ro gi sulit ya naik krl terbang saja bagaimana,Negative,9.997.305.274.009.700,0
diam atau enggak gua bawa naik krl,Negative,9.994.206.428.527.830,0
bukan pernah lagi gue tiap hari pp naik krl pas dulu kuliah ger kalau jam sibuk bawa masker saja tas amanin di depan satset juga geraknya biar kagak ditubruk orang,Negative,99.843.829.870.224,0
naik krl lewat langit bi,Neutral,9.996.883.869.171.140,1
saya sih pakai keduanya tws kalo di jalan kabel dipakai pas di rumah atau di kantor ngeri nyangkut kalo pakai kabel terus transit waktu naik krl,Neutral,9.818.898.439.407.340,1
lu memangnya pernah rung infokan harus bawa apa buat day 1 naik krl,Neutral,9.986.225.366.592.400,1
dari jakbar naik krl dulu bearti ya,Neutral,9.989.902.377.128.600,1
dari jakarta bisa naik krl itu dekett,Positive,9.995.507.597.923.270,2
halo kak selama saya naik krl dari jam 7 malam ke atas itu gerbong umum penuh penumpang laki laki kalau kakaknya sendirian dan merasa kurang nyaman bisa ke gerbong khusus perempuan yang ada di setiap ujung krl,Negative,9.508.933.424.949.640,0
awalnya kayak enggak percaya kok bisa sepadat itu garis hijau di postingan kali tadi pas kesana lihat sendiri holy sh t benaran gue yang pulang sering naik krl kaget lihat begini cc,Positive,9.978.863.596.916.190,2
aku pernah pas naik krl sudah lagi desek desakan depan ku cowok pakai parfum bacarat rasanya mau muntah untung cuma 2 stasiun terus turun,Neutral,6.609.822.511.672.970,1
guys nanti ada yang pulangnya naik krl tangkasbitung line enggak mau bareng dong,Negative,9.994.025.230.407.710,0
dari depok jam 6 naik krl turun cawang langsung satset naik ojol sampai gatsuu,Neutral,9.993.976.354.598.990,1
mulai dari tadi berangkat naik krl penuh banget sampai mau berdiri dan turun saja susah putaran nemu gelas famimi giu shino malah hilang karena jatuh dari tas terus ini baru kelar kerja sekarang and you re tell me its still monday,Negative,9.997.112.154.960.630,0
sama kayak dari cikini gondangdia ke senen tinggal lurus kalo naik krl di bikin muter transit,Neutral,9.989.446.997.642.510,1
enggak usah kalo dari paledang langsung keluar saja kamu kan enggak naik krl jadi gaperlu tap kartu,Neutral,9.844.687.581.062.310,1
kak maaf jbjb aku ada rencana naik krl sekitar jam 8 10 malam itu enggak direkomendasikan ya aku cewek btww,Neutral,9.987.536.668.777.460,1
naik krl tiba-tiba sampai bekasi entar,Negative,9.978.908.896.446.220,0
aku siap2 naik krl dari metland ya bismillah subhanallah walhamdulillah walaailahaillwlah wallahuakbar takbir,Positive,9.896.189.570.426.940,2
yang wfo nder sebisa mungkin menghindari naik krl aku mah malas desak2an,Negative,999.863.862.991.333,0
coba lihat di rute krl bekasi kak siapa tau bisa ke surga naik krl,Neutral,8.666.849.136.352.530,1
lanjut habis itu naik krl lagi posisi awal aman karena tujuan masih jauh jadi geser ke dekat kursi kok ya tercium lagi bau rokok tapi enggak tau dari mana pas dapat duduk baru tau ternyata dari saku tas bapak2 yang isinya puntung semua istri duduk sebelah gue ternyata hamil stres,Negative,9.998.656.511.306.760,0
setelah macet macet pas jam sibuk aku benaran sadar mendingan naik krl aslii jiwa pecinta trasumku menyalaa,Positive,9.006.309.509.277.340,2
lega banget habis berak sekebon sebelum naik krl,Positive,9.994.484.782.218.930,2
kayak mendingan naik krl deh meskipun lebih lama dan sama padetnya,Negative,9.620.417.952.537.530,0
baru sehari naik krl beribu kejadian,Negative,9.963.194.131.851.190,0
naik krl saja dempet dikit enggak ngaruh,Positive,5.690.941.214.561.460,2
aku pernah lihat mbak mbak pakai birkin naik krl,Neutral,9.996.218.681.335.440,1
ayo naik krl,Neutral,9.897.506.833.076.470,1
wfh wfa kerja jam fleksibel jadi bisa masuk siang sekarang makin banyak kantor yang kerja jam fleksibel 5 tahun lalu naik krl jam 9 kosong bisa duduk sekarang jam 9 masih rame artinya sudah banyak yang kerja jam fleksibel makin banyak yang bisa masuk siang,Negative,9.310.875.535.011.290,0
yang belum tentu sebulan sekali naik krl,Neutral,9.885.208.606.719.970,1
coba pulang kerja naik krl malah kena gangguan keretanya sampai gym sudah bete duluan memeg,Negative,9.991.480.112.075.800,0
naik krl kak 1295 12 19 tanjung barat dalam kondisi sangat padat tapi ac tidak hanya menyala kipas yang melewati udara panas banyak penumpang termasuk orang tua amp anak anak terlihat kepanasan mohon perhatian pihak terkait,Negative,9.990.779.161.453.240,0
girl tinggal naik krl terus lanjut kereta shuttle ke bandara,Neutral,9.989.381.432.533.260,1
cocok buat belajar di cafe commuting naik bus krl kerja di kos yang rame healing di taman tapi pengin fokus anc nya bikin semua aktivitas lebih nyaman,Positive,9.993.323.683.738.700,2
asiknya naik krl bisa duduk sebelah sama mas2 pakai batik yang lucu itu,Positive,9.992.285.966.873.160,2
dekat bang naik krl dari bekasi timur turun di jatinegara,Positive,9.384.345.412.254.330,2
blok sama nanti kita naik motor nya sampai stasiun mrt lebak bulus habis itu ambil krl arah isekai terus ambil jalur ke ghibli,Neutral,9.990.066.885.948.180,1
naik krl bisa nih,Positive,9.991.763.234.138.480,2
bengtar fan meet liyu 66k won murah enggak sih enggak sampai sejeti ih mau skshkshskjsksj ke korea bisa naik krl enggak,Positive,9.977.017.045.021.050,2
aku enggak pernah naik kereta yang jauh sih cuma kadang pas lagi naik krl suaranya juga enggak jelas,Negative,9.997.079.968.452.450,0
mungkin ada tapi kurang aman juga sih paling saranku ya tidur dalam stasiun balapan pagi naik krl,Negative,9.811.484.217.643.730,0
ini kayanya kalo naik tj atau krl bisa menghempas orang di samping deh,Positive,9.879.805.445.671.080,2
pagi tadi naik krl tbtb gue mencium bau rokok ternyata berasal dari tangan bapak2 bangsat perjalanan pagi yang nyaman tbtb jadi susah bernafas bukan karena berdesakan tapi karena bau rokok di situ sudah mau pingsan jadi memutuskan untuk turun krl,Negative,9.996.033.310.890.190,0
habis cf enggak sanggup ke aeon gue duitnya ludes jadi pulang naik krl kelaparan sampai di rumah masak mie kocok,Negative,9.994.650.483.131.400,0
boleh juga bentr dah akk naik krl dulu nih,Neutral,7.716.943.025.588.980,1
ini katanya dirancang khusus untuk naik krl,Neutral,9.985.926.747.322.080,1
kenapa ya setiap naik krl gua malah jadi kasar,Negative,999.862.790.107.727,0
tolong banget ada peraturan yang bau ketek dilarang naik krl,Negative,9.992.570.281.028.740,0
ada yang bawa gerobak tahu di krl waktu sibuk jam tapi tentu tidak ane foto amp viralkan karena ane taqut sjw twaiter yang belum tentu sekali naik krl di jam sibuk,Negative,7.334.454.655.647.270,0
sama banget pas konser nasib dulu dari jam 1 pagi otw sampai jakarta jam 9 pagi habis itu jam naik krl ke ice bsd sampai jam 12 siang lanjut ngonser day 2 mulai jam 3 sore itu benar-benar gamakan baru makan habis kelar konser benaran baru kerasa mau meninggal,Negative,9.998.384.714.126.580,0
yey bisa naik krl ke jogja,Neutral,9.983.997.941.017.150,1
buat yang enggak tau bangku krl itu kalo yang panjang2 bisa diisi 7 orang ya tolong rapetin 1 sama lain kalo yang enggak mau rapet jangan naik krl,Negative,9.969.229.102.134.700,0
jonan muncul di stasiun kota dan naik krl tua eks jepang ada apa,Neutral,9.997.285.008.430.480,1
berharap banget rangkaian krl jabodetabek ditambah yang banyak biar orang orang pada mau naik kereta,Neutral,4.260.871.708.393.090,1
dih lu kalo enggak mau begini ya enggak usah naik krl bawa saja kendaraan pribadi macet macet biarkan deh itu risiko lu,Negative,9.998.613.595.962.520,0
9 10 seru tapi capek soalnya aku pp magang naik krl huft kamu bagaimana jean,Negative,9.988.105.297.088.620,0
minimal kalo mau naik krl semprot parfum dulu plis,Neutral,997.952.938.079.834,1
aku jawa tengah beliau diy tapi naik krl cuma 1 jam enggak sampai,Positive,648.919.939.994.812,2
gue naik krl langsung tertampar realita dan ini cf pertama gue waktu,Neutral,8.954.776.525.497.430,1
siang ini memutuskan untuk jalan jalan enggak jelas yang maka pikir bisa mengalihkan perhatian sebentar ya naik krl ke jogja wkwk padahal sumber galaunya disana tapi malah mau healing kesana,Positive,9.586.421.847.343.440,2
ibarat dari margo city ke detos tapi lu malah pilih naik krl anying,Negative,9.834.098.815.917.960,0
pedagang ini cuma bisa naik krl di jam tertentu masih juga diprotes sama sih paling penting,Negative,9.997.807.145.118.710,0
orang-orang tolol kayak begini demi allah baru kemarin gue naik krl ngerem tiba-tiba pas kecepatan tinggi gara-gara ada orang nyebrang sembarangan dan orang yang nerobos palang kereta anjing lu tau yang di kereta pada njungkel ke depan semua dan pas kereta berhenti langsung pada goyah kehempas ke belakang anjing,Negative,999.852.180.480.957,0
belum pernah naik krl sendirian takut kesasar,Neutral,99.973.064.661.026,1
beli mobil saja kak jangan naik krl kan bau kalo belum bisa beli mobil sendiri yaudah menikmati saja sama sama cari uang kak,Negative,9.997.656.941.413.870,0
pengin main ke rasamadu naik krl tolong tapi katanya lebih baik bawa teman timbang sendirian huft,Neutral,9.993.427.395.820.610,1
3 semua orang tau kalo naik krl itu desek desekan nyampur kalo merasa princess sender keganggu bisa pindah ke kereta lain atau menentukan mau di kereta ke berapa karena biasanya mereka sudah janjian di kereta berapa 4 kalo masih ngeyel naik banaspati saja,Negative,9.973.220.229.148.860,0
wkwkw bisa dihujat sama rakyat miskin naik krl saja pakai belagu mengatai orang lain,Negative,9.998.688.697.814.940,0
1 kalo ada kak lokal atau kak yang khusus mengangkut mereka dari dan menuju ibukota mereka tidak akan naik krl kok 2 kenapa kak lokalnya tidak ada karena krl nya dianggap menggantikan kak lokal jadi kak lokal yang dulu mereka rutin naik diperpendek cuma merak rangkasbitung,Negative,9.737.874.269.485.470,0
semoga jadi pelajaran buat mas nya dan kita semua memang konsumen adalah raja tapi tetap harus tau etika dan memanusiawikan semua manusia apapun pekerjaannya naik green line sudah stres jadi pepes di dalam krl mas jangan ditambah bikin masalah lagi mending smbl menunggu ojol skalian jajan2,Positive,999.329.686.164.856,2
konser jalan-jalan sama keluarga naik krl sepuasnya bikin frameevent jeongan,Neutral,9.972.814.321.517.940,1
penasaran sama salah satu penumpang krl malam tadi arah jakot naik dari bogor turun di depok baru,Neutral,9.276.042.580.604.550,1
di kali ini orang susah tuh selain enggak boleh punya anak juga enggak boleh naik krl pagi bawa barang dagangan padahal mereka cuma boleh ikut kereta pertama terus sama mbak makan mevvah biarpun seks itu hiburan orang susah juga karena gratis tapi ketika dia blunder mulu sih,Negative,9.998.032.450.675.960,0
sama saja kayak dari senen ke cikini naik motor paling 10 menit kalo enggak macet naik krl setengah jam sendiri belum menunggu transit wkwk,Negative,9.940.856.695.175.170,0
ya memang banyak orang yang merasa sudah bayar jadi parkir kayak tuhan naik krl bayarnya enggak seberapa saja ada kok yang merasa harus duduk,Negative,9.996.311.664.581.290,0
cuy ternyata naik krl hari senin jam 9an juga penuh banget mengira jam jam berangkat kerja doang,Negative,9.998.213.648.796.080,0
nih bocah ngetweet belum pernah naik krl seceng dulu kali ya,Negative,9.394.853.115.081.780,0
moa kota bogor aku tetapi tim yang lebih leluasa jalan pas hari kerja apalagi pas ke gunung naik krl selasa rabu,Positive,9.893.961.548.805.230,2
aku suka banget ayat 216 dari surat al baqarah bumi itu tenang sedangkan yang ribut adalah orang yang tidak menyukai takdirnya bisakah kamu merasakan kedalaman ayat itu melihat sosmed amp lingkungan sekitar orang bisa ribut hanya karena ojol dicancel lah ada pedagang naik krl,Negative,5.872.719.883.918.760,0
naik krl ada bapak bapak yang pinjem buku ku stephen hawking sejarah singkat waktu aku sih monggo silakan dibaca pak,Neutral,9.995.463.490.486.140,1
seperti biasa sudah persiapkan lebih pagi tapi ada saja tetap sama naik krl jam segitu,Neutral,9.917.660.355.567.930,1
kak kalo dipakai naik krl berangkat ngantor tuh cocok enggak ya panas enggak atau cocoknya buat dipakai lari,Neutral,953.153.669.834.137,1
nder kamu kan sekarang punya hp coba download chatgpt aku kemarin naik krl pertama kali saja tanya chatgpt,Positive,99.964.439.868.927,2
kemarin soal cewek yang doxxing mba2 sama mas2 yang di kai itu terus yang di menfess perkara pedagang bawa dagangan naik krl dan sekarang doxxing ojol heran gue minimal kalo esmosi enggak usah dikit2 doxxing apa-apa foto jeprat jepret terus up di medsos fafifu wasweswos taunya dia sendiri yang blunder,Negative,9.998.606.443.405.150,0
aku naik krl pakai masker pakai tudung jaket,Neutral,9.996.901.750.564.570,1
saking penuhnya ngejar menuhin list trade saja susah ternyata gusy mana sinyal juga hilang-hilangan jadinya enggak bisa mencari info mutual yang janjian mau trade but still i had fun pulang n nginep di bekasi naik krl lagi setelah 5 tahun dulu aku kerja di jakbar jadi punya krt lagi wkwk,Positive,9.843.721.985.816.950,2
naik krl terus sampai bisa pergi sendiri v,Neutral,9.919.096.827.507.010,1
kayak tahi anjing sama kayak yang naik krl ngetag tempat duduk pakai tas buat tmnnya bajingan,Negative,999.703.586.101.532,0
hai mint mungkin sudah basi tapi apa boleh bertanya kabar seungso kereta kalau naik krl kepikiran mulu hikshuks t t coba tengok kanan kiri depan belakang non barangkali ada seungso kereta versi krl dan ketemu berdua lagi begitu lantai,Neutral,9.670.614.004.135.130,1
ajak gue naik krl dong bang,Neutral,9.845.757.484.436.030,1
kasihan banget jadi orang miskin dilarang punya anak banyak dikatai suka seks karena gratis dilarang naik krl kalau ada apa pokoknya sih miskin lah yang salah,Negative,9.998.760.223.388.670,0
dikasi gaji under ump cuma bisa buat naik krl saja tengil lo tahi bagaimana dikasi gaji 1m sebulan,Negative,9.914.233.088.493.340,0
ngide banget malah naik krl via manggarai padahal tujuanku lebih dekat kalau naik yang via pas senen shibal ini cobaan dihari senin,Negative,9.995.120.763.778.680,0
first time naik krl yang jauh mata tidak bisa bohong karena kehidupan november sangat melelahkan,Negative,9.998.769.760.131.830,0
mending gua tadi naik bluebird anjg biarkan agak mahal tapi setidaknya enggak stres drp naik krl greenline najis banget ada orang mau turun sudah diteriakin malah berbondong2 naik ke krl memang asu,Negative,9.772.664.308.547.970,0
sejujurnya saya enggak punya bakat naik krl di senin pagi begini huft,Negative,9.930.621.981.620.780,0
berangkat ke jakarta naik krl tumben2an keringet dingin kayak mau pingsan alhasil memilih turun dulu but talk tapi who pacar ku sedang mengambek,Negative,9.944.621.920.585.630,0
apakah orang yang naik krl dari st cakung klender baru dan buaran ke arah manggarai tidak mencari tahu asal usul kereta yang mereka akan masuki kereta berangkat dari cikarang cuma 10 sf dan sudah padat berjubel masih saja dipaksakan untuk dinaiki,Negative,9.997.935.891.151.420,0
tapi aku masih enggak suka naik krl sendiri soalnya lebih rame dan tempatnya enggak ditentuin kalo berdiri enggak di dekat pintu malu banget didepannya orang padahal mereka juga enggak peduli,Negative,9.997.867.941.856.380,0
dari solo ke jogja selain krl naik apa ya ges a,Neutral,9.996.234.178.543.090,1
bagi anda yang berencana naik krl dari yogyakarta ke solo pekan ini berikut jadwal krl jogja solo pada 17 20 november 2025 sejak pagi hingga malam,Neutral,9.995.222.091.674.800,1
fyi go transit bisa memilih lanjutannya pakai mobil misal mengajak sekeluarga naik krl mau lanjut mobil bisa sekarang,Neutral,9.996.726.512.908.930,1
kemarin gue baru ke bogor naik krl suram sih wkwkkw,Negative,9.998.185.038.566.580,0
waktu kantor di senayan duduk manis naik tj cuma 20rb sudah depan kantor pp 40rb lah bisa naik lrt sambung mrt bisa naik krl sambung mrt nah di pulomas naik lrt juga enggak intergrasi sama tj arah pulomas naik krl mau sambung tj jauh banget haltenya justicewargatimur,Negative,9.236.013.293.266.290,0
jadwal krl jogja solo hari ini senin 17 nov 2025 naik dari st tugu,Neutral,9.996.830.224.990.840,1
kayak dulu pak jonan benahi kereta api memang dulu pakai dinasihatin baik baik pakai ceramah az indak dulu langsung kirim pasukan marinir buat penertiban penumpang krl dan penertiban stasiun tapi hasilnya kita nikmati saat ini naik krl rapi bersih bagus,Positive,9.983.711.838.722.220,2
6 jam bukan masalah kalo nekat bisa saja ditrabas tapi masalahnya aku belum pernah naik krl kalo kereta antar kota sih sering,Negative,9.896.584.153.175.350,0
sumpah sampai sekarang badan rasanya kayak masih naik krl efek sejam lebih perjalanan,Negative,9.996.034.502.983.090,0
naik krl lebih pagi padahal bisa memilih yang lebih siang,Negative,6.812.881.827.354.430,0
sudah lengkap semua jenis kereta dinaikin lrt mrt krl whoosh kak bandara kak jarak jauh skytrain mau kasih apresiasi sama kai yang sistemnya benaran sudah bagus banget berasa naik kelas ini di stasiun entah kenapa bandara enggak berasa begitu ya,Positive,9.988.889.098.167.410,2
anw kangwn juga ya bulak balik naik krl jadi pepes,Positive,9.991.924.166.679.380,2
kenapa hambs sering salah naik krl,Neutral,8.812.567.591.667.170,1
setuju banget kak kasihan mereka padahal cari nafkah amp naik krl nya selalu bukan jam rush hour,Negative,9.998.201.727.867.120,0
kalo masih digji naik krl enggak usah sok belagu begitu anjing,Negative,9.997.953.772.544.860,0
pesawat delay dapat cashback 350k dipakai gocar 400k kalo enggak delay gue bisa naik kak bandara lanjut krl enggak sampai 100k monyet,Neutral,9.912.562.370.300.290,1
egk tj full maksudnya gue naik tj dulu ke krl mrt ehe,Neutral,99.934.321.641.922,1
ya jangan sudah sama bef saja lu jangan ngadi ngadi ya gue gedig lu ya allah iya tapi masalahnya nanti gue sudah galagi naik krl,Negative,999.818.742.275.238,0
suamiku dari harapan indah ke kuningan tetap naik krl dari cakung badmood kalo naik mobil,Neutral,9.996.065.497.398.370,1
aku juga kemarin naik krl dari manggarai,Neutral,9.997.096.657.752.990,1
info tkp pedagang kulakan naik krl dihina,Neutral,99.973.064.661.026,1
deh jago cewek sudah bisa naik krl sendiri gwah bahkan,Positive,9.995.841.383.934.020,2
termasuk laptop laptop doang belum bawa seluruh kabel dan alat elektronik di rumah lagian maximal maximal barang bawaan banyak mu itu 2 3 tas enggak sih dan kamu pikir yang perlu naik krl begitu pekerja kayak kamu doang nder coba di berpikir secara logika dulu,Negative,9.995.161.294.937.130,0
krl bogor dong zel aku ke korea saja naik krl bogor datang ya nanti tiada kesan tanpa kehadiranmu,Positive,9.996.669.292.449.950,2
bisa naik transum sampai akhirnya bisa kemana mana sendirian lrt krl mrt tj jaklingko bertemu sama mutual juga ngevent kpop mulai jualan di olshop cosplay jadi koor pdd wkwk balik menulis au lagi,Neutral,995.415.449.142.456,1
pengin deh sabtu depan otw solo terus sorenya naik krl ke jogja habis itu minggu siang main ke magelang mampir rumah bude sekalian bablas pulang wacana dulu,Neutral,7.265.504.002.571.100,1
yaallah kaki ku geter habis treadmill teros naik krl tangerang bekasi,Negative,9.989.991.784.095.760,0
kalo naik krl tuh enak ada bis nya juga sudah bisa di prediksi lah,Positive,9.995.550.513.267.510,2
nder inilah alasan krl itu disebut transportasi umum jadi penjelasan boleh kalo mau nyaman mah mankanya naik mobil saja sendiri enggak usah transum wkwkwkw,Negative,8.443.505.167.961.120,0
anjay tadi sore aku segerbong sama cosplayer tapi enggak tau sih dia cosplay apa cuman nyimut begitu ungu2 first timer lihat orang cosplay terus naik krl,Positive,9.992.668.032.646.170,2
terakhir kali gua naik krl transit di manggarai,Neutral,999.626.874.923.706,1
kira aku terlambat jadi memilih nyetir saja kalo tau pada lebih selow sih mendingan naik krl,Negative,9.993.245.601.654.050,0
brb bookmark kalau lagi pagi pagi naik krl,Neutral,9.811.278.581.619.260,1
memang kamu gasedih ya naik krl ke solo sudah enggak sama aku lagi,Negative,9.988.646.507.263.180,0
hohohoho besok akan kupakai buat naik krl,Neutral,9.996.134.638.786.310,1
dari rumah ke blok sama naik krl line apa ya seru banget ayo ramein ges,Positive,9.992.521.405.220.030,2
nah itu cuma kalo naik krl turun nya di cisauk kalo online pasti mahal nya paling jalan kaki agak jauh ke sekitaran b residence atau aeon biar enggak kena getok harga kendaraan online,Negative,9.542.683.959.007.260,0
naik krl enggak pakai transit wkwk,Neutral,9.983.099.699.020.380,1
fix besok jadi pepes ini naik krl ke depok di jam orang berangkat kerja,Neutral,9.992.324.113.845.820,1
maaf kak aku mau banget bantu tapi aku jarang sekali naik krl dan menggunakan water stationnya jadi belum pernah coba,Neutral,9.861.560.463.905.330,1
carikan kosan di daerah kemayoran saja deh kak biaya hidupnya enggak begitu mahal kalo di kemayoran kalo ke tebet bisa commute naik krl,Positive,9.295.405.745.506.280,2
membawa dagangan itu boleh berdagang di krl yang sudah tidak boleh lagi sama pencari nafkah dan pakai transum enggak usahlah saling dengki kalau ada energi lebih silakan dibantu naik turunin barang anggap saja angkat barbel gratis,Negative,9.705.621.004.104.610,0
membawa dagangan itu boleh berdagang di krl yang sudah tidak boleh lagi sama pencari nafkah dan pakai transum enggak usahlah saling dengki kalau a dah tenaga lebih silakan dibantu naik turunin barang anggap saja angkat barbel gratis,Negative,9.961.799.383.163.450,0
pengin naik krl deh sudah lama banget perasaan,Negative,9.998.220.801.353.450,0
karyawan kai pacaran tidak berbahaya diprotes pedagang kulakan naik krl dihina ojol dibooking kayak supir pribadi masyarakat tempat kita tinggal,Negative,9.815.537.929.534.910,0
belagu amat enggak usah naik krl makanya,Negative,9.997.914.433.479.300,0
perjalanan cerita ke cf hafalin rute krl sampai cisauk naik bus cf gila ada foto holoid nya jangan lupa foto pesan pesan dari chief dan nempelin pesan di dinding lupa ngefoto punya sendiri next,Neutral,9.996.981.620.788.570,1
di nice kemarin kalo mulainya sore tuh masih dapat tj buat pulang masih mudah lah kalo selesai jam 7an tapi lewat dari itu sulit dan tarif ojol juga naik semua di ice juga transum ribet banget kebanyakan transit kalo enggak pakai krl dan kalo malam juga susah,Negative,9.991.784.691.810.600,0
sebelum pulang duduk2 dulu cuy lelah sangat pak sambil jeduk jeduk dj mungkin bentar lagi pulang karena sudah enggak tahu mau mengapai lagi biar dapat bus juga enggak sampai malam juga kalau naik krl tobat ges dulu pulang pasti jam 12 sampai hotel sekarang deh cukup,Negative,9.989.849.925.041.190,0
biasanya sih kalo sudah sering naik krl apalagi jamnya sama terus bakal paham ya terkait aturan barang bawaan pedagang daripada kebelet posting di medsos sendernya bisa kali cari info dulu di laptop smartphonenya masa kalah info sama pedagang yang dijulidin,Negative,9.958.508.014.678.950,0
enggak pernah sekali2nya naik krl ngelewatin kalibata apalah aneh banget jir,Negative,999.835.729.598.999,0
di kali orang miskin gbolh ngeseks gboleh naik krl gblh punua anak,Negative,9.998.037.219.047.540,0
iya juga ya katanya makan orang kayak tapi orang miskin kagak boleh punya anak gaboleh ngeseks dan gaboleh naik krl,Negative,9.997.066.855.430.600,0
makan yang kayak tapi orang miskin gaboleh punya anak gaboleh ngeseks terus gaboleh naik krl,Negative,9.997.865.557.670.590,0
naik krl lrt dari tangerang ke cibubur,Neutral,9.996.594.190.597.530,1
kok enggak ada yang membela orang miskin kemarin ada yang protes orang miskin naik krl bawa dagangan banyak banget sampai ganggu penumpang lain rame-rame dibully,Negative,9.998.213.648.796.080,0
paling benar naik krl itu pas rush hour hari kerja soalnya kalo hari weekend suka banyak anomalinya ada lagi gue nemu ini geng cowok pakai crop top t shirt wkwk iya sih hak kebebasan mereka tapi gue merasa lucu,Positive,9.981.982.111.930.840,2
tapi enggak jalan juga akhirnya gue kesel kan sudah panas desek desekan capek diri juga terus gue cek gojek cuma 30k an ke tanah abang yaudah gue turun kan terus pas gue sudah sampai tangga baru naik 5 anak tangga itu krl lanjut perjalanan lagi anjg jdnya gue buru buru balik lagi,Negative,9.998.352.527.618.400,0
simulasi dulu kita biar pas naik krl enggak malu maluin,Neutral,9.645.116.925.239.560,1
pulang kerja dijemput adek naik krl,Neutral,9.994.590.878.486.630,1
aku pernah naik krl di zaman ini sama bapaku waktu itu sambil membawa rombongan mhsw desakan sama para pedagang bapa bilang aku jam bersukur karena pulang sekolah langsung main mereka masih kecil sudah cari duit pasti habis pulang sekolah langsung kerja dari situ sebau2nya badan mereka gue maklumin,Negative,9.998.007.416.725.150,0
pic pertama berasa kayak lagi naik krl atau bus begitu ya dd,Negative,9.961.966.276.168.820,0
kok bintaro alsut tol ya enggak ada cok tol lah baru dengar ada tol selama main entah naik gocar krl bus enggak ada tol,Negative,9.497.613.906.860.350,0
asli sejak sering naik krl gue sering banget lihat orang-orang pesan ojol padahal sampai stasiun tujuan pun belum kaya gue yang pesan pas sudah di stasiun terus ternyata abangnya sudah di depan saja panik kecil keluar mencari bsbsnya,Negative,9.997.738.003.730.770,0
kapan gue akan naik kak lokal dan bukan krl,Neutral,9.994.029.998.779.290,1
kenapa ya kalo naik krl emosinya lebih cepat naik,Negative,9.998.061.060.905.450,0
bisa bub pcrku ngekos di under 1jt daerah jaksel terus karena kantor dekat jadi kemana mana motoran kalo jalan-jalan ke blok sama ke tim naik krl murah katanya dan sek bisa hemat 2jt an perbulan,Positive,9.995.539.784.431.450,2
walopun gue itunganya masih kecil banget waktu itu tapi gue benaran ingat banget suasana kreta yang masih purbakala begini karena dulu tuh gue kalo naik krl selalu meminta beli tahu dari orang yang jualan di dalam kreta nya gue,Positive,9.889.833.331.108.090,2
paling malas naik krl di akhir pekan memuat penumpang musiman semua huek,Negative,9.998.688.697.814.940,0
jahat banget sombong padahal sama sama naik transum di bawah 10 rebu tapi ketikannya setega itu sakit hati banget bacanya karena gua lihat orang yang tiap hari pp naik krl saja gatega ini ditambah bawaan sebanyak itu tapi masih di salty ini be kind deh sama sama cari nafkah juga,Negative,9.998.494.386.672.970,0
para pedagang ini memang diperbolehkan ngikut naik krl pertama sebelum jam 5 pagi lewat dari jam itu mereka tau diri kok enggak bakal naik karena mereka tau ada pekerja kantoran yang lebih banyak naik krl tolong berempati kirimit toh mereka sama kok kayak kita mencari rezeki juga,Negative,9.997.840.523.719.780,0
dulu aku enggak tau kalo kursi krl prioritas ini lah penyebab bau pesing di kereta sekarang aku anti duduk kalo naik krl,Negative,9.997.928.738.594.050,0
guys sumpah aku meminta maaf sebesar besarnya buat yang enggak kebagian freebies ku maaf aku sudah janji padahal tapi pas jam 3 aku sudah pulang ikut naik mobil teman aku enggak kuat kalo harus pulang naik krl lagi soalnya keburu lemes gara kecapean dari pagi yang masuk ke perut,Negative,9.995.819.926.261.900,0
bisa naik krl kegencet dikit atau nyetir sendiri sebenarnya,Negative,9.997.701.048.851.010,0
pertama kali saia naik krl adalah tahun 2010an kalau indak salah thanks tapi buk mikuwati waktu itu menonton star treknya benny di imax nginep di rumah buk miku terus diajak naik kereta di stasiun manggarai dekat sekali sama rumah blio,Positive,9.974.095.225.334.160,2
lu pertama kali naik krl ye coba lu naik krl yang cikarang line lu bakal ketemu orang orang yang bawaan banyak enggak baru usah lebay kau anjeng dia juga bayar sama kayak lup,Negative,9.993.925.094.604.490,0
padahal kamu bisa bayar gojek saja kalau mau cepat dan enggak naik krl tanpa mengatai orang tanpa mendiskriminasi orang kamu jahat banget nder,Negative,9.998.482.465.744.010,0
